"School System & School","...2","# Tested","% Tested","Total","ERW","Math"
"589","Philip J Weaver Ed Center","56","100","1200","620","580"
"595","Western Guilford High","147","49.7","1079","546","533"
"Halifax County Schools",NA,"78","46.2","854","435","419"
"346","Northwest Halifax Collegiate A","36","37.5","874","439","435"
"358","Southeast Halifax Collegiate P","42","57.5","837","432","405"
"Roanoke Rapids City Schools",NA,"41","19.8","1015","522","492"
"316","Roanoke Rapids High School","41","19.8","1015","522","492"
"Weldon City Schools",NA,"53","75.7","941","480","462"
"310","Roanoke Valley Early College","35","87.5","994","504","490"
"315","Weldon Stem High School Career","18","60","839","432","407"
"Harnett County Schools",NA,"383","29.5","1033","529","504"
"346","Harnett Central High","72","20.100000000000001","1068","538","530"
"371","Overhills High","151","43.4","1008","524","484"
"378","Triton High","93","34.299999999999997","1043","530","513"
"384","Western Harnett High","67","22","1037","529","508"
"Haywood County Schools",NA,"158","28.6","1093","550","542"
"346","Haywood Early College","<10","*","*","*","*"
"378","Pisgah High","77","34.799999999999997","1062","535","527"
"390","Tuscola High","76","35.5","1124","565","559"
"Henderson County Schools",NA,"340","35.700000000000003","1124","573","551"
"316","East Henderson High","51","27.6","1105","557","548"
"334","Hendersonville High","116","56.3","1117","569","548"
"341","North Henderson High","46","20.9","1106","576","530"
"352","West Henderson High","114","46.5","1143","579","563"
"354","Henderson County Early College","13","18.3","1168","599","568"
"Hertford County Schools",NA,"142","72.8","908","469","439"
"320","Hertford County High","99","70.2","886","459","427"
"322","Hertford Co Early College","27","79.400000000000006","1007","516","491"
"340","Cs Brown High","16","80","876","453","423"
"Hoke County Schools",NA,"119","23.8","978","497","481"
"312","Hoke County High","105","26.2","959","487","472"
"443","Sandhoke Early College High","14","14.7","1121","572","549"
"Hyde County Schools",NA,"10","37","960","485","475"
"316","Ocracoke School","<10","*","*","*","*"
"318","Mattamuskeet Early College Hig","<10","*","*","*","*"
"Iredell-Statesville Schools",NA,"809","46.9","1130","570","560"
"310","Career Academy And Technical S","<10","*","*","*","*"
"320","Collaborative College For Tech","15","20.5","1216","617","599"
"335","Lake Norman High","341","73","1160","585","575"
"346","North Iredell High","80","31.3","1086","547","539"
"354","Statesville High","80","38.6","989","509","480"
"355","Crossroads Arts Sciences Early","35","38.9","1100","571","529"
"362","South Iredell High","234","59.2","1158","580","578"
"380","West Iredell High","20","11","1011","505","507"
"Mooresville Graded School Dist",NA,"219","52","1116","561","555"
"312","Mooresville High School","219","52","1116","561","555"
"Jackson County Schools",NA,"52","16.5","1158","580","577"
"323","Jackson Co Early College","<10","*","*","*","*"
"340","Smoky Mountain High","48","24.2","1162","581","581"
"Johnston County Schools",NA,"869","34.9","1089","555","534"
"324","Clayton High","173","42.9","1070","546","523"
"327","Cleveland High","122","33.799999999999997","1109","558","551"
"333","Corinth Holders High","197","46.5","1118","572","547"
"357","Johnston Co Middle College","25","58.1","1172","604","568"
"367","Johnston Co Early College Acad","34","41","1194","609","585"
"368","North Johnston High","43","23.8","1034","532","502"
"376","Princeton High","43","35.5","1058","549","509"
"399","Smithfield-Selma High","103","38.299999999999997","1019","525","494"
"402","South Johnston High","46","15.3","1042","522","520"
"406","West Johnston High","83","27.9","1117","564","553"
"Jones County Schools",NA,"20","23.8","1059","530","529"
"320","Jones Senior High","20","23.8","1059","530","529"
"Lee County Schools",NA,"192","31.1","1063","533","529"
"335","Lee Early College","<10","*","*","*","*"
"336","Lee County High","105","34","1071","536","535"
"343","Southern Lee High School","86","34.799999999999997","1051","529","522"
"Lenoir County Public Schools",NA,"185","32.6","976","501","475"
"315","Kinston High","83","50.9","898","465","433"
"317","Lenoir County Early College Hi","<10","*","*","*","*"
"324","North Lenoir High","61","32.1","1014","519","495"
"336","South Lenoir High","32","24.1","1074","543","531"
"Lincoln County Schools",NA,"355","40.1","1099","552","547"
"320","East Lincoln High","123","57.2","1104","558","546"
"332","Lincolnton High","71","32.700000000000003","1018","516","503"
"344","North Lincoln High","106","44","1163","577","586"
"368","West Lincoln High","55","27","1068","534","534"
"Macon County Schools",NA,"108","35.5","1095","555","540"
"320","Franklin High","70","35.700000000000003","1093","554","539"
"324","Highlands School","15","60","1091","545","546"
"329","Macon Early College High Schoo","21","37.5","1098","565","533"
"332","Nantahala School","<10","*","*","*","*"
"Madison County Schools",NA,"44","22.9","1074","551","523"
"317","Madison Early College High","<10","*","*","*","*"
"318","Madison High","37","27.6","1057","545","512"
"Martin County Schools",NA,"92","50.5","1023","515","507"
"344","South Creek High","22","44.9","1006","499","507"
"368","Riverside High","70","52.6","1028","520","507"
"McDowell County Schools",NA,"172","35.799999999999997","1053","534","519"
"328","Mcdowell Early College","29","41.4","1112","560","552"
"330","Mcdowell High","142","35.9","1041","529","512"
"Charlotte-Mecklenburg Schools",NA,"5184","52.6","1097","551","546"
"302","Ardrey Kell High","551","79.7","1235","612","623"
"312","William Amos Hough High","424","66.900000000000006","1188","596","592"
"334","Cato Middle College High","73","49","1138","583","555"
"341","Cochrane Collegiate Academy","13","46.4","1017","505","512"
"361","Butler High","252","52.5","1099","548","551"
"364","Military And Global Leadership","<10","*","*","*","*"
"377","East Mecklenburg High","189","49.1","1096","547","549"
"386","Hawthorne High","22","91.7","985","510","475"
"397","Garinger High","160","49.7","881","446","435"
"404","Harper Middle College High","36","32.4","1140","572","568"
"405","Harding University High","93","32.200000000000003","938","475","464"
"415","Hopewell High","139","41.4","1031","522","509"
"426","Independence High","201","39.9","1096","551","546"
"443","Levine Middle College High","49","32.9","1218","612","607"
"445","Mallard Creek High","326","48.7","1034","523","511"
"457","Rocky River High","165","47.7","955","487","468"
"466","Myers Park High","421","61.2","1202","603","599"
"480","North Mecklenburg High","223","50","1038","526","512"
"482","Northwest School Of The Arts","82","66.7","1108","576","532"
"496","Phillip O Berry Academy Of Tec","252","66.7","1026","514","512"
"498","Performance Learning Center","10","45.5","994","538","456"
"499","Elearning Academy","14","22.6","1121","573","549"
"508","Providence High","353","69.599999999999994","1255","625","630"
"535","South Mecklenburg High","395","59.1","1132","570","563"
"567","Charlotte Engineering Early Co","17","22.7","1276","625","652"
"576","West Charlotte High","145","46","885","448","437"
"579","West Mecklenburg High","184","48.4","909","462","447"
"592","Vance High","145","40.4","940","478","462"
"594","Merancas Middle College High","<10","*","*","*","*"
"693","Olympic High - Renaissance Sch","54","37","992","502","490"
"694","Olympic High-Math Eng Tech Sci","77","58.3","1128","558","570"
"695","Olympic Team High School","24","25","938","478","459"
"696","Olympic High-Leadership And De","34","41","941","474","466"
"697","Olympic High - Biotech Health","54","37","1031","525","506"
"Mitchell County Schools",NA,"71","42.3","1052","537","515"
"334","Mitchell High","71","55.5","1052","537","515"
"Montgomery County Schools",NA,"94","34.9","996","499","497"
"316","East Montgomery High","76","55.1","985","493","492"
"340","West Montgomery High","18","14.6","1042","524","518"
"Moore County Schools",NA,"357","39.299999999999997","1117","568","550"
"330","The Community Learning Center","<10","*","*","*","*"
"332","North Moore High","39","28.9","1044","527","517"
"336","Pinecrest High","247","50.6","1120","569","551"
"360","Union Pines High","70","25.4","1148","586","562"
"Nash-Rocky Mount Schools",NA,"505","46","1011","515","496"
"346","Nash Central High","116","54.7","1004","509","495"
"347","Nrm Early College High School","55","56.7","1096","554","542"
"350","Northern Nash High","123","46.9","976","502","473"
"361","Rocky Mount High","149","59.1","1006","511","495"
"364","Southern Nash High","62","23.8","1034","531","503"
"New Hanover County Schools",NA,"955","49.4","1134","569","565"
"326","Emsley A Laney High","224","40.700000000000003","1108","562","546"
"327","Eugene Ashley High","177","39.200000000000003","1117","559","558"
"340","Isaac M Bear Early College Hig","33","63.5","1208","604","604"
"342","John T Hoggard High","303","69.7","1181","586","595"
"352","New Hanover High","178","51","1101","556","545"
"355","Career Readiness Academy At Mo","<10","*","*","*","*"
"394","Wilmington Early College High","37","51.4","1096","560","536"
"Northampton County Schools",NA,"28","24.8","931","467","464"
"336","Northampton County High School","28","26.7","931","467","464"
"Onslow County Schools",NA,"522","32.200000000000003","1059","536","523"
"320","Dixon High","60","29.9","1077","545","532"
"324","Jacksonville High","119","44.1","1076","550","526"
"333","Northside High","61","21.9","993","508","486"
"340","Richlands High","59","27.1","1053","527","526"
"344","Southwest High","56","31.6","1025","515","510"
"352","Swansboro High","56","23.2","1128","562","566"
"364","White Oak High","111","47.4","1054","534","520"
"Orange County Schools",NA,"299","56.1","1147","582","565"
"310","Cedar Ridge High","139","57.2","1159","588","571"
"332","Orange High","160","56.3","1136","577","560"
"Chapel Hill-Carrboro City Schools",NA,"582","68.5","1260","630","630"
"305","Carrboro High","100","54.6","1228","618","610"
"308","Chapel Hill High","236","73.3","1243","624","619"
"314","East Chapel Hill High","245","73.599999999999994","1290","641","649"
"338","Phoenix Academy High","<10","*","*","*","*"
"Pamlico County Schools",NA,"32","33.299999999999997","1079","538","541"
"320","Pamlico County High","32","33.299999999999997","1079","538","541"
"Elizabeth City-Pasquotank Public Schools",NA,"182","51","980","498","482"
"317","Northeastern High","103","56.6","1009","511","498"
"319","Pasquotank County High","79","45.9","943","482","461"
"Pender County Schools",NA,"250","36.4","1083","548","535"
"321","Heide Trask High","41","25.6","1029","522","507"
"326","Pender High","42","32.1","986","502","484"
"327","Pender Early College High","23","33.799999999999997","1088","548","540"
"342","Topsail High","144","44","1126","569","557"
"Perquimans County Schools",NA,"30","27.5","1029","514","515"
"316","Perquimans County High","30","27.5","1029","514","515"
"Person County Schools",NA,"125","48.1","1024","522","502"
"352","Person High","125","48.1","1024","522","502"
"Pitt County Schools",NA,"701","45","1054","532","523"
"309","Ayden-Grifton High","57","39.6","994","504","490"
"333","D H Conley High","178","46.7","1127","566","561"
"344","Farmville Central High","54","36.700000000000003","969","495","474"
"366","Junius H Rose High","140","45","1090","545","544"
"374","North Pitt High","106","51.5","986","498","488"
"388","South Central High","165","45.3","1039","526","513"
"500","Early College High School","<10","*","*","*","*"
"Polk County Schools",NA,"36","22.1","1157","586","571"
"317","Polk County Early College","<10","*","*","*","*"
"318","Polk County High School","34","22.2","1149","580","569"
"Randolph County Schools",NA,"389","31.7","1033","522","510"
"318","Eastern Randolph High","86","49.1","947","484","463"
"339","Providence Grove High","68","40.5","1079","541","538"
"348","Randleman High","22","10.3","1065","543","522"
"354","Randolph Early College High","30","32.6","1134","570","563"
"358","Southwestern Randolph High","74","32.6","1029","519","510"
"380","Trinity High","46","27.1","1029","524","505"
"388","Wheatmore High","63","34.4","1048","527","521"
"Asheboro City Schools",NA,"172","55.3","1014","515","499"
"304","Asheboro High","172","55.3","1014","515","499"
"Richmond County Schools",NA,"84","16.100000000000001","1027","523","505"
"348","Richmond Senior High","76","17.7","1013","516","497"
"349","Richmond Early College High","<10","*","*","*","*"
"Public Schools Of Robeson County",NA,"412","27.4","943","480","463"
"325","Fairmont High","61","37","910","456","454"
"342","Lumberton Senior High","150","37.4","983","506","477"
"385","Psrc Early College At Rcc","<10","*","*","*","*"
"391","Red Springs High","60","34.299999999999997","925","475","450"
"401","Saint Pauls High","15","7.5","970","497","473"
"402","South Robeson High","35","31.8","888","454","434"
"420","Purnell Swett High","87","22","917","460","457"
"Rockingham County Schools",NA,"359","41.6","1020","517","502"
"314","Dalton Mcmichael High","113","54.1","1028","520","508"
"354","John M Morehead High","81","43.3","983","502","480"
"366","Reidsville High","83","52.5","959","485","474"
"378","Rockingham County High","68","32.200000000000003","1104","560","544"
"379","Rockingham Co Early College Hi","14","14.3","1111","567","544"
"Rowan-Salisbury Schools",NA,"531","40.5","1036","526","510"
"340","East Rowan High","73","35.1","1049","533","516"
"361","Carson High","115","38.200000000000003","1068","547","521"
"376","North Rowan High","58","49.6","932","475","456"
"394","Rowan Co Early College","30","58.8","1128","563","565"
"396","Salisbury High","77","44.8","1040","523","517"
"400","South Rowan High","75","34.6","1015","519","496"
"408","West Rowan High","103","42.4","1035","523","512"
"Rutherford County Schools",NA,"263","47.9","1042","527","514"
"324","Chase High School","71","46.7","1043","531","512"
"340","East Rutherford High School","81","55.1","1019","512","507"
"384","R-S Central High School","98","50.8","1044","528","515"
"385","Rutherford Early College High","12","32.4","1179","599","580"
"386","Rutherford Opportunity Center","<10","*","*","*","*"
"Sampson County Schools",NA,"157","25.3","1035","523","511"
"324","Sampson Early College High","<10","*","*","*","*"
"348","Hobbton High","41","29.1","1009","507","501"
"349","Lakewood High","48","44.4","1002","512","490"
"352","Midway High","39","24.1","1113","565","548"
"388","Union High","22","18.2","1020","513","507"
