school_code,school_name,percent_white,percent_male,percent_eds,percent_swd,title_1,percent_ACTEN_meeting,percent_ACTMA_meeting,percent_ACTRD_meeting,percent_ACTSC_meeting,percent_ACTWR_meeting,percent_ACT_meeting,missed_school_days,region,growth_status,growth_index_score
320312,C E Jordan High,0.3004201680672269,0.5063025210084033,0.34663865546218486,0.06512605042016807,N,41.4,24.2,32.4,24.8,40.7,54.4,0,North Central,Not Met,-5.19
320317,City of Medicine Academy,0.07317073170731703,0.09756097560975607,0.6219512195121951,0.024390243902439046,N,39,20.7,26.8,14.6,46.3,68.3,0,North Central,Exceeded,11.39
320322,Durham's Performance Learning Center,0.28125,0.3125,0.75,0.1875,N,6.3,6.3,6.3,5,5,12.5,0,North Central,Not Met,-2.91
320325,Hillside High,0.044897959183673466,0.4897959183673469,0.5918367346938775,0.09795918367346938,N,17.9,6.9,13,6.5,11.3,32.7,0,North Central,Exceeded,3.6
320356,Northern High,0.22884012539184953,0.5172413793103449,0.49843260188087773,0.09090909090909091,N,19,7.5,14.1,9.3,21.3,32.6,0,North Central,Exceeded,2.03
320365,Riverside High,0.23893805309734514,0.5014749262536873,0.5368731563421829,0.06489675516224189,N,29.4,25.4,27.1,23,26.7,43.7,0,North Central,Exceeded,3.55
320365,Riverside High,0.23893805309734514,0.5014749262536873,0.5368731563421829,0.06489675516224189,N,29.4,25.4,27.1,23,26.7,43.7,0,Northeast,Not Met,-2.98
320368,Southern School of Energy and Sustainabi,0.06367041198501877,0.5205992509363296,0.6217228464419475,0.10486891385767791,N,9.3,5,5,5,9,18,0,North Central,Met,1.25
320701,Hillside New Tech High,0.1428571428571429,0.6363636363636364,0.4805194805194805,0.11688311688311692,N,14.3,5,5.2,5,15.6,33.8,0,North Central,Met,0.8
32N000,Research Triangle High School,0.5367647058823529,0.5735294117647058,0.1865671641791045,0.05147058823529416,Y,86,66.2,72.8,67.6,68.4,92.6,0,North Central,Met,-1.22
330328,North Edgecombe High,0.2093023255813954,0.627906976744186,0.4418604651162791,0.13953488372093026,Y,5,5,5,5,5,11.6,2,North Central,Exceeded,3.57
330350,SouthWest Edgecombe High,0.4205128205128205,0.42564102564102563,0.3487179487179487,0.07692307692307693,N,14.7,5,13.2,5.6,12.9,24.6,2,North Central,Not Met,-4.12
330358,Tarboro High,0.1559633027522936,0.5045871559633027,0.43119266055045874,0.09174311926605505,N,11,5.5,6.4,5.5,5,15.6,2,North Central,Met,-1.61
340311,Atkins Academic & Tech High,0.4602510460251046,0.6108786610878661,0.24267782426778242,0.0502092050209205,N,65.3,46,52.7,49.8,48.5,83.7,2,Piedmont-Triad,Exceeded,6.07
340330,Carver High,0.09090909090909094,0.36363636363636365,0.6868686868686869,0.07070707070707072,Y,5.1,5,5.1,5,6.3,18.2,2,Piedmont-Triad,Exceeded,3.25
340362,Early College of Forsyth Co,0.4383561643835616,0.3561643835616438,0.2465753424657534,0,N,80.8,60.3,69.9,57.5,82.2,94.5,2,Piedmont-Triad,Met,-1.86
340364,East Forsyth High,0.5581395348837209,0.5012919896640827,0.30749354005167956,0.10335917312661498,N,28.7,19.8,26,19.6,23.5,49.9,2,Piedmont-Triad,Not Met,-3.35
340382,Robert B Glenn High School,0.369281045751634,0.46078431372549017,0.45751633986928103,0.058823529411764705,N,23.8,9.8,19.3,14.4,13.5,39.5,2,Piedmont-Triad,Exceeded,3.25
340454,Mount Tabor High School,0.3055555555555556,0.41944444444444445,0.4305555555555556,0.08888888888888889,N,38.4,23,27.9,22.8,29.6,50.6,2,Piedmont-Triad,Met,0.18
340460,North Forsyth High,0.14563106796116504,0.49514563106796117,0.4029126213592233,0.06796116504854369,Y,10.2,5.8,7.7,5.8,8.9,28.2,2,Piedmont-Triad,Not Met,-7.44
340486,Parkland High,0.13592233009708737,0.4563106796116505,0.4077669902912621,0.0744336569579288,Y,18.1,9.7,16.1,10.6,16.2,29.4,2,Piedmont-Triad,Met,-1.31
340495,Ronald W Reagan High School,0.7024291497975709,0.5020242914979757,0.20242914979757085,0.06882591093117409,N,53.8,39.5,43.9,37.4,40.3,71.5,2,Piedmont-Triad,Exceeded,13.32
340496,R J Reynolds High,0.38817480719794345,0.43958868894601544,0.4087403598971722,0.06683804627249357,N,42.9,24.9,37.8,27,33.5,55.8,2,Piedmont-Triad,Met,0.93
340542,Walkertown High,0.5547945205479452,0.541095890410959,0.4383561643835616,0.07534246575342465,N,26,11,21.2,13.7,17,41.1,2,Piedmont-Triad,Not Met,-2.24
